"Kielikoodi
 ","Kieli (suomeksi)
 ","Kieli (englanniksi)
 ","Huomautus
 "
cai,Keski-Amerikan intiaanikielet,Central American Indian languages,Käytä yksilöimättömille Keski-Amerikan intiaanikielille
[cam], ,[Khmer],VANHENTUNUT!
car,karibi,Galibi Carib, 
cat,katalaani,Catalan, 
cau,kaukasialaiset kielet,Caucasian languages,Käytä yksilöimättömille kaukasialaisille kielille
ceb,cebuano,Cebuano, 
cel,kelttiläiset kielet,Celtic languages,Käytä yksilöimättömille kelttiläisille kielille
cha,tsamorro,Chamorro, 
chb,tsibtsa,Chibcha, 
che,tsetseeni,Chechen, 
chg,tsagatai,Chagatai, 
chi,kiina,Chinese, 
chk,chuuk,Chukeese,Aikaisempi koodi: tru
chm,mari,Mari, 
chn,chinook-jargon,Chinook jargon, 
cho,choctaw,Choctaw, 
chp,chipewyan,Chipewyan, 
chr,cherokee,Cherokee, 
chu,kirkkoslaavi,Church Slavic, 
chv,tsuvassi,Chuvash, 
chy,cheyenne,Cheyenne, 
cmc,tsam-kielet,Chamic languages,Käytä yksilöimättömille tsam-kielille
cop,kopti,Coptic, 
cor,korni,Cornish, 
cos,korsika,Corsican, 
cpe,englantiin perustuvat kreolit ja pidginit,"Creoles and Pidgins, English-based",Käytä yksilöimättömille englantiin perustuville kreoli- ja pidginkielille
cpf,ranskaan perustuvat kreolit ja pidginit,"Creoles and Pidgins, French-based",Käytä yksilöimättömille ranskaan perustuville kreoli- ja pidginkielille
cpp,portugaliin perustuvat kreolit ja pidginit,"Creoles and Pidgins, Portuguese-based",Käytä yksilöimättömille portugaliin perustuville kreoli- ja pidginkielille
cre,cree,Cree, 
crh,"krimintataari, kriminturkki",Crimean Tatar,Aikaisempi koodi: tut
crp,kreolit ja pidginit,Creoles and Pidgins,Käytä yksilöimättömille kreoli- ja pidginkielille
csb,kasubi,Kashubian,Aikaisempi koodi: sla
cus,kuusilaiset kielet,Cushitic languages,Käytä yksilöimättömille kuusilaisille kielille
cze,tsekki,Czech, 
dak,dakota,Dakota, 
dan,tanska,Danish, 
dar,dargi,Dargwa,Aikaisempi koodi: cau
day,dajakki,Land Dayak languages, 
del,delaware,Delaware, 
den,slevi,Slave, 
dgr,dogrip,Dogrib, 
din,dinka,Dinka, 
div,divehi,Divehi, 
doi,dogri,Dogri, 
dra,dravidakielet,Dravidian languages,Käytä yksilöimättömille dravidakielille
dsb,alasorbi,Lower Sorbian,Aikaisempi koodi: wen
dua,duala,Duala, 
dum,keskihollanti (n. 1050-1350),"Dutch, Middle (ca. 1050-1350)", 
dut,hollanti,Dutch, 
dyu,djula,Dyula, 
dzo,dzongkha,Dzongkha, 
efi,efik,Efik, 
egy,muinaisegypti,Egyptian, 
eka,ekajuk,Ekajuk, 
elx,elami,Elamite, 
eng,englanti,English, 
enm,keskienglanti (n. 1100-1500),"English, Middle (1100-1500)", 
epo,esperanto,Esperanto,Aikaisempi koodi: esp
[esk], ,[Eskimo languages],VANHENTUNUT!
[esp], ,[Esperanto],VANHENTUNUT!
est,viro,Estonian, 
[eth], ,[Ethiopic],VANHENTUNUT!
ewe,ewe,Ewe, 
ewo,ewondo,Ewondo, 
fan,fang,Fang, 
fao,fääri,Faroese,Aikaisempi koodi: far
[far], ,[Faroese],VANHENTUNUT!
fat,fanti,Fanti, 
fij,fidzi,Fijian, 
fil,filipino,Filipino, 
fin,suomi,Finnish, 
fiu,suomalais-ugrilaiset kielet,Finno-Ugrian languages,Käytä yksilöimättömille suomalais-ugrilaisille kielille
fon,fon,Fon, 
fre,ranska,French, 
[fri], ,[Frisian],VANHENTUNUT!
frm,keskiranska (n. 1400-1600),"French, Middle (ca. 1400-1600)", 
fro,muinaisranska (n. 842-1400),"French, Old (ca. 842-1400)", 
frr,"friisi, pohjois-",Northern Frisian, 
frs,"friisi, itä-",Eastern Frisian, 
fry,"friisi, länsi-",Western Frisian,Aikaisempi koodi: fri
ful,fulani,Fula, 
fur,friuli,Friulian, 
gaa,ga,Ga, 
[gae], ,[Scottish Gaelic],VANHENTUNUT!
[gag], ,[Galician],VANHENTUNUT!
[gal], ,[Oromo],VANHENTUNUT!
gay,gajo,Gayo, 
gba,gbaja,Gbaya, 
gem,germaaniset kielet,Germanic languages,Käytä yksilöimättömille germaanisille kielille
geo,georgia,Georgian, 
ger,saksa,German, 
gez,ge'ez,Ethiopic,Aikaisempi koodi: eth
gil,kiribati,Gilbertese, 
gla,gaeli,Scottish Gaelic,Aikaisempi koodi: gae
gle,iiri,Irish,Aikaisempi koodi: iri
glg,galicia,Galician,Aikaisempi koodi: gag
glv,manx,Manx,Aikaisempi koodi: max
gmh,keskiyläsaksa (n. 1050-1500),"German, Middle High (ca. 1050-1500)", 
goh,muinaisyläsaksa (n. 750-1050),"German, Old High (ca. 750-1050)", 
gon,gondi,Gondi, 
gor,gorontalo,Gorontalo, 
got,gootti,Gothic, 
grb,grebo,Grebo, 
grc,muinaiskreikka (-1453),"Greek, Ancient (to 1453)", 
gre,kreikka (1453-),"Greek, Modern (1453- )", 
grn,guarani,Guarani,Aikaisempi koodi: gua
[gua], ,[Guarani],VANHENTUNUT!
gsw,sveitsinsaksa,"Swiss German, Alemannic, Alsatian",Aikaisempi koodi: ger
guj,gudzarati,Gujarati, 
gwi,gwitsin,Gwich'in, 
hai,haida,Haida, 
hat,haiti,Haitian French Creole,Aikaisempi koodi: cpf
hau,hausa,Hausa, 
haw,havaiji,Hawaiian, 
heb,heprea,Hebrew, 
her,herero,Herero, 
hil,hiligaino,Hiligaynon, 
him,himatsali,"Himachali languages, Western Pahari languages", 
hin,hindi,Hindi, 
hit,heetti,Hittite, 
hmn,hmong,Hmong, 
hmo,hiri-motu,Hiri Motu, 
hrv,kroatia,Croatian,Aikaisempi koodi: scr
hsb,yläsorbi,Upper Sorbian,Aikaisempi koodi: wen
hun,unkari,Hungarian, 
hup,hupa,Hupa, 
iba,iban,Iban, 
ibo,igbo,Igbo, 
ice,islanti,Icelandic, 
ido,ido,Ido,Aikaisempi koodi: art
iii,sichuannin-yi,Sichuan Yi, 
ijo,idzo,Ijo languages, 
iku,inuktitut,Inuktitut, 
ile,interlingue,Interlingue, 
ilo,iloko,Iloko, 
ina,interlingua,Interlingua (International Auxiliary Language Association),Aikaisempi koodi: int
inc,indoarjalaiset kielet,Indic languages,Käytä yksilöimättömille indoarjalaisille kielille
ind,indonesia,Indonesian, 
ine,indoeurooppalaiset kielet,Indo-European languages,Käytä yksilöimättömille indoeurooppalaisille kielille
inh,inguusi,Ingush,Aikaisempi koodi: cau
[int], ,[Interlingua (International Auxiliary Language Association)],VANHENTUNUT!
ipk,inupiatun,Inupiaq, 
ira,iranilaiset kielet,Iranian languages,Käytä yksilöimättömille iranilaisille kielille
[iri], ,[Irish],VANHENTUNUT!
iro,irokeesikielet,Iroquoian languages,Käytä yksilöimättömille irokeesikielille
ita,italia,Italian, 
jav,jaava,Javanese, 
jbo,lojban (keinotekoinen kieli),Ljoban (Artificial language), 
jpn,japani,Japanese, 
jpr,juutalaispersia,Judeo-Persian, 
jrb,juutalaisarabia,Judeo-Arabic, 
kaa,karakalpakki,Kara-Kalpak, 
kab,kabyyli,Kabyle, 
kac,kachin,Kachin, 
kal,"kalaallisut, grönlanti",Kalâtdlisut, 
kam,kamba,Kamba, 
kan,kannada,Kannada, 
kar,karen,Karen languages, 
kas,kasmiri,Kashmiri, 
kau,kanuri,Kanuri, 
kaw,kavi,Kawi, 
kaz,kazakki,Kazakh, 
kbd,kabardi,Kabardian,Aikaisempi koodi: cau
kha,khasi,Khasi, 
khi,khoisan-kielet,Khoisan languages,Käytä yksilöimättömille khoisan-kielille
khm,khmer,Central Khmer,Aikaisempi koodi: cam
kho,khotani,"Khotanese, Sakan", 
kik,kikuju,Kikuyu, 
kin,ruanda,Kinyarwanda, 
kir,kirgiisi,Kyrgyz, 
kmb,kimbundu,Kimbundu, 
kok,konkani,Konkani, 
kom,"komi (komipermjakki, komisyrjääni, komijazva)",Komi, 
kon,kongo,Kongo, 
kor,korea,Korean, 
kos,kosrae,Kusaie,Aikaisempi koodi: kus
kpe,kpelle,Kpelle, 
krc,karatsai-balkaari,Karachary-Balkar,Aikaisempi koodi: tut
krl,karjala,Karelian,Aikaisempi koodi: fiu
kro,kru-kielet,Kru languages,Käytä yksilöimättömille kru-kielille
kru,kurukh,Kurukh, 
kua,kuanjama,Kuanyama, 
kum,kumykki,Kumyk, 
kur,kurdi,Kurdish, 
[kus], ,[Kusaie],VANHENTUNUT!
kut,kutenai,Kootenai, 
lad,"ladino, juutalaisespanja",Ladino, 
lah,lahnda,Lahnda, 
lam,lamba,Lamba (Zambia and Congo), 
[lan], ,[Occitan (post-1500)],VANHENTUNUT!
lao,lao,Lao, 
[lap], ,[Sami],VANHENTUNUT!
lat,latina,Latin, 
lav,latvia,Latvian, 
lez,lezgi,Lezgian, 
lim,limburg,Limburgish, 
lin,lingala,Lingala, 
lit,liettua,Lithuanian, 
lol,mongo,Mongo-Nkundu, 
loz,lozi,Lozi, 
ltz,luxemburg,Luxembourgish, 
lua,luba (Lulua),Luba-Lulua, 
lub,luba (Katanga),Luba-Katanga, 
lug,ganda,Ganda, 
lui,luiseno,Luiseno, 
lun,lunda,Lunda, 
luo,luo,Luo (Kenya and Tanzania), 
lus,lusai,Lushai, 
mac,makedonia,Macedonian, 
mad,madura,Madurese, 
mag,magahi,Magahi, 
mah,marshall,Marshallese, 
mai,maithili,Maithili, 
mak,makassar,Makasar, 
mal,malajalam,Malayalam, 
man,mandingo,Mandingo, 
mao,maori,Maori, 
map,austronesialaiset kielet,Austronesian languages,Käytä yksilöimättömille austronesialaisille kielille
mar,marathi,Marathi, 
mas,maasai,Masai, 
[max], ,[Manx],VANHENTUNUT!
may,malaiji,Malay, 
mdf,moksa,Moksha,Aikaisempi koodi: fiu
mdr,mandar,Mandar, 
men,mende,Mende, 
mga,keski-iiri (n. 1100-1550),"Irish, Middle (ca. 1100-1550)", 
mic,micmac,Micmac, 
min,minangkabau,Minangkabau, 
mis,luokittelemattomat kielet,Miscellaneous languages, 
mkh,mon-khmer-kielet,Mon-Khmer languages,Käytä yksilöimättömille mon-khmer-kielille
[mla], ,[Malagasy],VANHENTUNUT!
mlg,malagassi,Malagasy,Aikaisempi koodi: mla
mlt,malta,Maltese, 
mnc,mantsu,Manchu, 
mni,manipuri,Manipuri, 
mno,manobo-kielet,Manobo languages,Käytä yksilöimättömille manobokielille
moh,mohawk,Mohawk, 
[mol],moldavia,"Moldavian, Moldovan",VANHENTUNUT!
mon,mongoli,Mongolian, 
mos,mossi,Mooré, 
mul,useita kieliä,Multiple languages,Ks. muut erikoiskoodit
mun,mundakielet,Munda languages,Käytä yksilöimättömille mundakielille
mus,creek,Creek, 
mwl,mirandeesi,Mirandese, 
mwr,marwari,Marwari, 
myn,maya-kielet,Mayan languages,Käytä yksilöimättömille maya-kielille
myv,ersä,Erzya,Aikaisempi koodi: fiu
nah,nahuatl,Nahuatl languages, 
nai,Pohjois-Amerikan intiaanikielet,North American Indian languages,Käytä yksilöimättömille Pohjois-Amerikan intiaalikielille
nap,napoli,Neapolitan Italian,Aikaisempi koodi: ita
nau,nauru,Nauru, 
nav,navajo,Navajo, 
nbl,"ndebele, etelä-",Ndebele (South Africa), 
nde,"ndebele, pohjois-",Ndebele (Zimbabwe), 
ndo,ndonga,Ndonga, 
nds,alasaksa,Low German,Aikaisempi koodi: gem
nep,nepali,Nepali, 
new,newari,Newari, 
nia,nias,Nias, 
nic,nigeriläis-kongolaiset kielet,Niger-Kordofanian languages,Käytä yksilöimättömille nigeriläis-kongolaisille kielille
niu,niue,Niuean, 
nno,"norja, nynorsk",Nynorsk,"Suositus, käytä: nor (norja)"
nob,"norja, bokmål",Bokmål,"Suositus, käytä: nor (norja)"
nog,nogai,Nogai,Aikaisempi koodi: tut
non,muinaisnorja,Old Norse, 
nor,norja,Norwegian, 
nqo,n'ko,N'Ko, 
nso,"sotho, pohjois-",Northern Sotho, 
nub,nubialaiset kielet,Nubian languages,Käytä yksilöimättömille nubialaisille kielille
nwc,klassinen newari,"Newari, Old", 
nya,njandza,Nyanja, 
nym,nyamwezi,Nyamwezi, 
nyn,nyankole,Nyankole, 
nyo,nyoro,Nyoro, 
nzi,nzima,Nzima, 
oci,oksitaani (1500-),Occitan (post 1500),Aikaisempi koodi: lan
oji,odzibwa,Ojibwa, 
ori,orija,Oriya, 
orm,oromo,Oromo,Aikaisempi koodi: gal
osa,osage,Osage, 
oss,osseetti,Ossetic, 
ota,osmani (1500-1928),"Turkish, Ottoman", 
oto,otomi-kielet,Otomian languages,Käytä yksilöimättömille otomi-kielille
paa,papualaiset kielet,Papuan languages,Käytä yksilöimättömille papualaisille kielille
pag,pangasinan,Pangasinan, 
pal,pahlavi,Pahlavi, 
pam,pampanga,Pampanga, 
pan,pandzabi,Panjabi, 
pap,papiamentu,Papiamento, 
pau,palau,Palauan, 
peo,muinaispersia (n. 600-400 eKr.),Old Persian (ca. 600-400 B.C.), 
per,"farsi, persia",Persian, 
phi,filippiiniläiset kielet,Philippine languages,Käytä yksilöimättömille filippiiniläisille kielille
phn,foinikia,Phoenician, 
pli,paali,Pali, 
pol,puola,Polish, 
pon,pohnpei,Ponape, 
por,portugali,Portuguese, 
pra,prakit-kielet,Prakrit languages,Käytä yksilöimättömille prakrit-kielille
pro,muinaisprovensaali (-1500),"Old Provençal (to 1500), Old Occitan (to 1500)", 
pus,pastu,"Pushto, Pashto", 
que,ketsua,Quechua, 
raj,radzastani,Rajasthani, 
rap,rapanui,Rapanui, 
rar,rarotonga,Rarotongan, 
roa,romaaniset kielet,Romance languages,Käytä yksilöimättömille romaanisille kielille
roh,retoromaani,Romansh, 
rom,romani,Romani, 
rum,"romania, moldavia","Romanian, Moldovan", 
run,rundi,Rundi, 
rup,aromania,"Aromanian, Arumanian, Macedo-Romanian", 
rus,venäjä,Russian, 
sad,sandawe,Sandawe, 
sag,sango,Sango (Ubango Creole), 
sah,jakuutti,Yakut, 
sai,Etelä-Amerikan intiaanikielet,South American Indian languages,Käytä yksilöimättömille Etelä-Amerikan intiaanikielille
sal,salisialaiset kielet,Salishan languages,Käytä yksilöimättömille salisialaisille kielille
sam,samarianaramea,Samaritan Aramaic, 
san,sanskrit,Sanskrit, 
[sao], ,[Samoan],VANHENTUNUT!
sas,sasak,Sasak, 
sat,santali,Santali, 
[scc],serbia,Serbian,VANHENTUNUT!
scn,sisilia,Sicilian Italian,Aikaisempi koodi: ita
sco,skotti,Scots, 
[scr],kroatia,Croatian,VANHENTUNUT!
sel,selkuppi,Selkup, 
sem,seemiläiset kielet,Semitic languages,Käytä yksilöimättömille semitiska kielille
sga,muinaisiiri (-900),"Irish, Old (to 1100)", 
sgn,viittomakielet,Sign languages,Ks. muut erikoiskoodit
shn,shan,Shan, 
[sho], ,[Shona],VANHENTUNUT!
sid,sidamo,Sidamo, 
sin,sinhali,Sinhalese,Aikaisempi koodi: snh
sio,sioux-kielet,Siouan languages,Käytä yksilöimättömille sioux-kielille
sit,sinotiibetiläiset kielet,Sino-Tibetan languages,Käytä yksilöimättömille sino-tiibetiläisille kielille
sla,slaavilaiset kielet,Slavic languages,Käytä yksilöimättömille slaavilaisille kielille
slo,slovakki,Slovak, 
slv,sloveeni,Slovenian, 
sma,"saame, etelä-",Southern Sami, 
sme,"saame, pohjois-",Northern Sami, 
smi,saamelaiskielet,Sami languages,"Käytä yksilöimättömille saamelaiskielille. Ks. sma, sme, smj, smn, sms"
smj,"saame, luulajan-",Lule Sami, 
smn,"saame, inarin-",Inari Sami, 
smo,samoa,Samoan,Aikaisempi koodi: sao
sms,"saame, koltan-",Skolt Sami, 
sna,sona,Shona,Aikaisempi koodi: sho
snd,sindhi,Sindhi, 
[snh], ,[Sinhalese],VANHENTUNUT!
snk,soninke,Soninke, 
sog,sogdi,Sogdian, 
som,somali,Somali, 
son,songhai,Songhai languages, 
sot,"sotho, etelä-",Sotho,Aikaisempi koodi: sso
spa,espanja,Spanish, 
srd,sardi,Sardinian, 
srn,sranan,Sranan Tongo,Aikaisempi koodi: cpe
srp,serbia,Serbian,Aikaisempi koodi: scc
srr,serer,Serer, 
ssa,niililäis-saharalaiset kielet,Nilo-Saharan languages,Käytä yksilöimättömille niililäis-saharalaisille kielille
[sso], ,[Sotho],VANHENTUNUT!
ssw,swazi,Swazi,Aikaisempi koodi: swz
suk,sukuma,Sukuma, 
sun,sunda,Sundanese, 
sus,susu,Susu, 
sux,sumeri,Sumerian, 
swa,swahili,Swahili, 
swe,ruotsi,Swedish, 
[swz], ,[Swazi],VANHENTUNUT!
syc,muinaissyyria,Syriac, 
syr,syyria,"Syriac, Modern", 
[tag], ,[Tagalog],VANHENTUNUT!
tah,tahiti,Tahitian, 
tai,thaikielet,Tai languages,Käytä yksilöimättömille thaikielille
[taj], ,[Tajik],VANHENTUNUT!
tam,tamil,Tamil, 
[tar], ,[Tatar],VANHENTUNUT!
tat,tataari,Tatar,Aikaisempi koodi: tar
tel,telugu,Telugu, 
tem,temne,Temne, 
ter,tereno,Terena, 
tet,tetum,Tetum, 
tgk,tadzikki,Tajik,Aikaisempi koodi: taj
tgl,tagalog,Tagalog,Aikaisempi koodi: tag
tha,thai,Thai, 
tib,tiibet,Tibetan, 
tig,tigre,Tigré, 
tir,tigrinja,Tigrinya, 
tiv,tiv,Tiv, 
tkl,tokelau,Tokelauan, 
tlh,klingon (keinotekoinen kieli),Klingon (Artificial language), 
tli,tlingit,Tlingit, 
tmh,tamasek,Tamashek, 
tog,tonga (Malawi),Tonga (Nyasa), 
ton,tonga (Tonga),Tongan, 
tpi,tok-pisin,Tok Pisin, 
[tru], ,[Truk],VANHENTUNUT!
tsi,tsimsi,Tsimshian, 
tsn,tswana,Tswana,Aikaisempi koodi: tsw
tso,tsonga,Tsonga, 
[tsw], ,[Tswana],VANHENTUNUT!
tuk,turkmeeni,Turkmen, 
tum,tumbuka,Tumbuka, 
tup,tupi-kielet,Tupi languages,Aikaisempi koodi: sai
tur,turkki,Turkish, 
tut,altailaiset kielet,Altaic languages,Käytä yksilöimättömille altailaisille kielille
tvl,tuvalu,Tuvaluan, 
twi,twi,Twi, 
tyv,tuva,Tuvinian, 
udm,udmurtti,Udmurt,Aikaisempi koodi: fiu
uga,ugarit,Ugaritic, 
uig,uiguuri,Uighur, 
ukr,ukraina,Ukrainian, 
umb,umbundu,Umbundu, 
und,määrittelemätön,Undetermined,Ks. muut erikoiskoodit
urd,urdu,Urdu, 
uzb,uzbekki,Uzbek, 
vai,vai,Vai, 
ven,venda,Venda, 
vie,vietnam,Vietnamese, 
vol,volapük,Volapük, 
vot,vatja,Votic, 
wak,wakash-kielet,Wakashan languages,Käytä yksilöimättömille wakash-kielille
wal,walamo,"Wolaitta, Wolaytta", 
war,waray,Waray, 
was,washo,Washo, 
wel,kymri,Welsh, 
wen,sorbin kielet,Sorbian languages,Käytä yksilöimättömille sorbin kielille
wln,valloni,Walloon,Aikaisempi koodi: roa
wol,wolof,Wolof, 
xal,kalmukki,Kalmyk,Aikaisempi koodi: tut
xho,xhosa,Xhosa, 
yao,jao,Yao (Africa), 
yap,japi,Yapese, 
yid,jiddis,Yiddish, 
yor,joruba,Yoruba, 
ypk,jupikkikielet,Yupik languages,Aikaisempi koodi: esk
zap,sapoteekki,Zapotec, 
zbl,Bliss-symbolit,Blissymbolics, 
zen,zenaga,Zenaga, 
zha,zhuang,Zhuang, 
znd,zande,Zande languages, 
zul,zulu,Zulu, 
zun,zuni,Zuni, 
zxx,"ei kielellistä sisältöä, soveltumaton","No linguistic content, Not applicable",
zza,zaza,Zaza, 
mul,useita kieliä,Multiple languages,"Kun kuvailun kohteessa on käytetty kahta tai useampaa kieltä, eikä ole käytännöllistä luetella kaikkien kielten koodeja."
sgn,viittomakielet,Sign languages, 
und,määrittelemätön,Undetermined,"Ihmisperäistä ääntä (esim. hyräilyä) tai tekstiä, jota ei voida lukea kuuluvaksi johonkin tiettyyn kieleen."
zxx,"ei kielellistä sisältöä, soveltumaton","No linguistic content, Not applicable","Aikaisempi koodi: ### (tyhjiä).
Esim. instrumentaalimusiikki, lähdekoodi, luonnonääniä sisältävä äänite."
### (tyhjiä),tieto puuttuu,No information provided,"Ennen 06/2006 käytettiin kuvaamaan kohdetta, jolla ei ole kielellistä sisältöä. Vertaa: zxx"
|||,ei koodattu,No attempt to code, 
